Unnamed: 0,question,answer,img_id,type
32,màu của gấu là gì,màu xám,2770,2
338,màu của con mèo là gì,màu cam,1323,2
460,màu của lá là gì,màu xanh lá,322,2
580,màu của vòi nước là gì,màu đỏ,2148,2
597,màu của vải là gì,màu tía,3272,2
762,màu của chiếc ô là gì,màu cam,1216,2
820,màu của dĩa nhựa là gì,màu tía,394,2
1074,màu của dĩa nhựa là gì,màu tía,394,2
1179,màu của bãi cỏ là gì,màu xanh lá,3514,2
1514,màu của chiếc ô là gì,màu đen,731,2
1599,màu của xe đang chạy là gì,màu đỏ,2089,2
2326,màu của dấu hiệu là gì,màu đỏ,2951,2
2606,bồn rửa đôi ở đâu là một điều trị kép cho chủ nhà,phòng tắm,2197,3
2728,nhóm phụ nữ tập hợp ở đâu,phòng,2752,3
2836,một người phụ nữ lớn tuổi tạo dáng ở đâu với một con gấu nhồi bông lớn,xe lăn,1237,3
2892,con mèo xám nằm ở đâu,chậu,1926,3
2900,nhóm động vật dễ thương ở đâu,giường,2240,3
3158,một số cô gái và một người đang làm món ăn ở đâu,phòng bếp,2083,3
3237,cậu bé mặc tã và mũ santa ở đâu,phòng bếp,1360,3
3501,con hươu cao cổ trẻ đang bú mẹ của nó ở đâu,vườn bách thú,3178,3
3563,con mèo đang tận hưởng một giấc ngủ ngắn ở đâu,cái ghế,2988,3
3576,đâu là một miếng pizza nằm ở đâu,hộp,3511,3
3735,hai cô gái chơi một trò chơi điện tử sôi động ở đâu,chung cư,1958,3
3903,"con chim nằm ở đâu trên một bệ, nhìn",cửa sổ,3249,3
3996,rau xanh đang chứa ở đâu,bát,3234,3
4113,cái bàn gỗ ở đâu,lọ cắm hoa,2106,3
4394,một số đầu bếp đang làm việc ở đâu,phòng bếp,4244,3
4470,bốn người ngồi ở đâu trong một vòng tròn,phòng,2752,3
4492,ba bàn chải đánh răng ở đâu,tách,562,3
4616,kem tím ngồi ở đâu,tách,3992,3
4740,ba gấu bông và một con búp bê ở đâu,hộp,2240,3
4964,người đàn ông di chuyển xuống dốc với ván trượt ở đâu,trượt tuyết,4490,3
5064,cậu bé đang đánh răng ở đâu,gương,1790,3
5083,hoa đỏ được cắm ở đâu,lọ cắm hoa,2150,3
10336,có bao nhiêu chai than vãn giữa máy nướng bánh mì và máy xay sinh tố,bốn,2964,1
10470,có bao nhiêu quả chuối trên bàn với một dấu hiệu tình yêu ở giữa,hai,3518,1
10568,có bao nhiêu con ngựa vằn đang đứng trên một bãi đất trống,ba,154,1
10667,cái bát kiểu dáng bằng sứ màu xanh có bao nhiêu quả chuối chín với những đốm nâu bên trong,một,3093,1
11051,"có bao nhiêu cô gái đang nhảy trên không, hai trong số họ đang cầm vợt bóng",năm,1943,1
11107,có bao nhiêu con ngựa vằn đang đi qua bãi cỏ của cánh đồng,ba,154,1
11139,có bao nhiêu chiếc thuyền được cập bến cùng nhau trong ngày nhiều mây,ba,404,1
11424,có bao nhiêu con hươu cao cổ đi xung quanh bên cạnh những cọc gỗ lớn,bốn,4319,1
11693,có bao nhiêu con hươu cao cổ đứng trong bụi bẩn trong một khu vực có hàng rào,ba,144,1
11707,có bao nhiêu người đang cầm ô và một cái giỏ lớn đi qua cánh đồng cây cao,ba,2672,1
11730,có bao nhiêu con voi đi bộ dọc theo con đường lát đá,ba,4208,1
11732,"có bao nhiêu đoàn tàu khác nhau, một đoàn tàu có màu xanh lá cây và màu bạc",ba,3003,1
11855,đàn voi có bao nhiêu con đang chạy cùng con,một,312,1
11916,có bao nhiêu ván trượt tuyết được dựa trên tuyết trên một đường ray,sáu,201,1
